House_Age,METRO,REGION,BEDROOMS,ROOMS,PERSONS,Rent
44,Town,Western,4,10,5,15364.7075
74,Village,Estern,2,4,1,7398.977899
46,Village,Estern,2,4,3,13221.44729
31,Others,Northern,3,6,3,4511.593542
64,Others,Northern,3,7,2,8291.161573
77,Central City,Northern,3,6,1,3869.625853
42,Village,Northern,3,6,1,2566.709186
55,Central City,Northern,2,5,2,4919.193883
68,Village,Estern,3,5,1,12423.11396
82,Village,Western,3,8,1,6570.127558
69,Village,Estern,3,6,1,14646.949
43,Village,Estern,4,9,4,20591.50173
43,Central City,Southern,2,5,4,16630.89968
26,Central City,Southern,3,6,2,7080.486403
59,Central City,Northern,4,9,3,82331.39297
39,Village,Northern,4,8,3,10332.35375
54,Village,Northern,4,8,3,13151.82144
59,Village,Western,4,10,3,9453.962596
59,Town,Estern,4,7,7,8281.04593
61,Village,Estern,5,10,2,4613.418372
68,Town,Estern,3,6,3,6866.319736
53,Central City,Northern,4,8,2,21533.84356
82,Central City,Northern,3,7,1,7550.011914
32,Central City,Northern,3,6,2,5955.802728
53,Town,Northern,4,9,3,19710.72622
28,Central City,Western,3,5,2,4920.18538
9,Village,Northern,4,7,-6,15438.97451
29,Village,Southern,4,8,6,5450.818031
35,Central City,Southern,4,8,6,6699.294225
62,Central City,Southern,4,8,2,12704.98131
40,Town,Southern,4,7,3,7492.670077
41,Village,Southern,4,9,4,13740.49832
63,Others,Southern,3,8,2,11732.69729
45,Others,Southern,3,7,4,3224.826535
32,Village,Southern,2,5,2,12985.03913
68,Town,Estern,3,8,2,9464.2211
34,Village,Northern,4,8,4,7465.486403
33,Village,Southern,3,5,3,6093.619054
47,Town,Southern,4,7,4,15217.36567
59,Central City,Southern,3,8,1,14438.61567
35,Village,Southern,4,9,4,11160.25512
45,Village,Southern,3,8,2,15374.86567
49,Village,Estern,3,8,4,15580.38267
31,Village,Estern,3,6,1,13353.78913
44,Central City,Western,3,7,4,7393.819736
38,Others,Estern,4,9,4,21072.1769
85,Village,Estern,3,6,2,33049.70073
61,Central City,Western,1,4,1,4696.751705
45,Central City,Western,4,6,1,7058.819736
66,Others,Western,1,4,1,5399.452387
56,Others,Western,3,6,3,3228.734698
60,Others,Western,4,8,2,6593.819736
28,Others,Western,3,6,2,7096.003411
71,Others,Estern,1,3,1,4809.61055
65,Town,Estern,2,4,1,7805.170077
49,Others,Northern,3,8,2,4510.085039
63,Town,Northern,3,7,1,8181.204093
38,Others,Northern,3,6,4,7413.503411
60,Town,Northern,3,10,2,12407.9558
55,Village,Northern,4,9,4,7320.903069
44,Town,Northern,4,8,4,7150.644566
26,Village,Southern,2,4,1,9865.945589
33,Village,Southern,5,9,4,5696.43538
64,Village,Southern,6,9,3,11212.03743
80,Central City,Western,3,6,1,5563.460891
9,Town,Western,5,11,-6,18440.98472
31,Others,Northern,2,5,2,5252.527217
93,Others,Northern,3,6,1,7233.403069
69,Others,Northern,2,4,2,6061.119054
46,Town,Northern,3,5,1,7029.336744
35,Village,Southern,5,13,6,14812.32315
41,Village,Southern,5,9,5,17522.40819
39,Village,Southern,3,6,1,8624.379263
9,Central City,Northern,3,6,-6,2857.226194
87,Central City,Northern,3,6,1,5428.102046
56,Town,Northern,4,7,4,6818.561232
53,Central City,Northern,5,9,3,12596.28913
9,Village,Northern,4,9,-6,14268.04084
59,Central City,Northern,3,5,2,8142.469395
41,Others,Southern,3,6,2,6445.486403
46,Town,Northern,5,9,6,7190.903069
70,Town,Northern,2,4,1,6558.144566
9,Central City,Northern,5,11,-6,1849.051023
42,Village,Northern,3,6,4,4611.751705
47,Central City,Northern,5,8,4,13391.48981
65,Village,Estern,3,6,2,11960.67178
49,Central City,Western,3,6,4,11863.63097
62,Central City,Western,3,9,2,7875.170077
74,Village,Southern,2,7,2,18889.53404
58,Village,Northern,3,5,2,9955.571441
37,Village,Northern,4,8,7,10872.23811
62,Central City,Southern,2,6,2,15166.949
72,Central City,Northern,3,7,2,83355.14297
65,Central City,Northern,2,6,1,13954.40648
65,Town,Northern,4,6,2,3231.867349
46,Village,Northern,3,5,8,4111.751705
43,Village,Northern,5,8,2,6374.294225
63,Village,Northern,3,5,2,5656.43538
52,Others,Northern,3,9,1,9201.04593
42,Village,Northern,4,8,4,6881.477899
50,Village,Northern,4,8,4,13237.84015
63,Village,Northern,2,5,1,3674.826535
65,Town,Northern,3,6,2,7064.653069
49,Others,Northern,3,6,4,5461.43538
88,Others,Northern,3,5,1,3826.751705
58,Town,Estern,4,8,2,18385.46771
33,Others,Northern,3,7,2,6074.969395
56,Village,Western,3,7,3,7844.178581
42,Central City,Western,4,9,5,9616.04593
35,Central City,Western,2,6,1,4547.743201
34,Central City,Western,4,9,4,8468.862255
39,Central City,Western,3,5,4,11351.60546
37,Village,Western,4,7,5,7510.960891
52,Village,Western,4,9,4,21457.59356
44,Village,Northern,4,7,2,4325.401364
58,Central City,Northern,3,7,2,7145.960891
37,Village,Northern,2,4,2,3013.576535
38,Village,Northern,3,6,6,5495.243201
80,Central City,Northern,4,8,2,21450.09356
68,Others,Northern,3,6,2,12745.49832
61,Others,Northern,3,6,2,4241.076535
80,Central City,Western,2,4,1,5261.277217
54,Village,Northern,3,7,2,6851.119054
9,Village,Northern,3,6,-6,359.4251705
43,Village,Estern,4,8,5,13213.63097
40,Central City,Western,3,7,5,5760.127558
47,Town,Western,3,6,5,7550.170077
65,Central City,Western,4,10,3,20146.2007
62,Village,Western,5,9,3,8515.011914
27,Town,Western,3,6,3,8397.253411
40,Village,Western,4,8,5,21391.38608
75,Town,Western,3,6,2,7563.819736
47,Town,Western,2,6,1,6115.960891
60,Others,Western,4,9,2,8863.028922
43,Central City,Estern,2,4,1,5738.36055
19,Others,Northern,2,5,1,3765.401364
71,Village,Estern,2,6,1,13163.11396
58,Village,Estern,2,6,3,8729.336744
50,Village,Estern,5,9,3,10019.99661
55,Village,Estern,6,10,2,81696.39297
56,Others,Western,3,6,2,8557.712596
64,Village,Northern,3,6,2,5914.811232
25,Town,Northern,4,9,4,8196.836744
36,Town,Western,3,6,5,9464.2211
59,Village,Estern,3,7,3,8273.445589
33,Village,Southern,4,9,4,11364.26362
81,Village,Southern,4,8,3,6769.710891
45,Village,Southern,4,8,5,5284.352046
39,Town,Estern,3,7,4,15975.79934
71,Others,Southern,3,7,2,17586.61737
65,Others,Southern,4,9,3,12132.79763
30,Town,Southern,4,8,3,7503.661573
80,Others,Northern,3,7,1,4206.751705
63,Others,Northern,3,6,1,3205.401364
74,Central City,Northern,4,7,3,4061.751705
54,Others,Estern,3,6,2,14449.98131
71,Others,Estern,4,7,3,12239.78063
51,Others,Estern,4,8,1,11581.03063
41,Village,Northern,3,7,2,11008.58845
77,Village,Northern,2,4,1,4702.527217
60,Others,Northern,3,7,2,7901.836744
29,Village,Northern,3,6,4,7958.661573
54,Village,Western,2,6,3,5434.768713
37,Town,Western,5,9,5,16650.89968
40,Village,Northern,5,10,2,14942.63947
41,Village,Northern,3,5,3,19748.65819
50,Village,Northern,3,5,2,4119.568031
44,Others,Estern,4,10,5,7722.153069
70,Town,Northern,3,6,3,5206.277217
49,Central City,Estern,3,5,1,13718.63097
54,Village,Northern,3,8,2,11735.61396
46,Others,Western,3,7,4,8094.437085
53,Central City,Western,2,5,3,6002.527217
62,Village,Southern,3,5,3,22772.26194
32,Central City,Southern,2,5,2,12146.54763
76,Town,Estern,3,8,2,19890.98472
47,Village,Western,4,7,5,2306.034015
9,Central City,Western,3,8,-6,4448.102046
46,Town,Western,4,10,4,8035.744907
49,Village,Western,3,6,2,5557.527217
42,Central City,Western,3,7,2,7005.960891
61,Central City,Estern,4,6,3,9158.54593
43,Village,Northern,4,9,2,13758.83165
80,Village,Northern,3,6,2,9881.04593
33,Village,Northern,4,9,4,13812.00682
77,Village,Western,3,8,1,8547.095248
62,Village,Estern,3,5,1,4211.867349
67,Village,Estern,2,6,1,7112.153069
63,Village,Estern,2,5,2,6982.469395
36,Village,Northern,3,5,2,4896.852046
43,Central City,Northern,3,6,2,5329.768713
45,Central City,Northern,5,11,4,7236.836744
60,Central City,Northern,4,11,4,11202.07995
51,Central City,Northern,3,6,2,6149.294225
35,Central City,Northern,4,6,6,5346.43538
35,Village,Western,4,9,5,13093.27212
64,Town,Northern,4,8,4,26250.26364
42,Central City,Estern,3,6,4,10618.58845
65,Village,Southern,3,7,2,12674.4643
73,Village,Northern,5,9,2,11312.33845
57,Village,Northern,2,5,1,8435.212596
36,Village,Northern,4,9,1,7080.486403
57,Village,Northern,4,8,2,7636.994907
40,Village,Northern,3,6,3,4002.426876
67,Town,Western,3,6,2,4589.251705
55,Town,Estern,4,11,1,21760.55275
43,Others,Northern,4,9,5,12007.69729
49,Village,Northern,6,11,4,38069.18372
49,Village,Northern,5,8,3,34645.34868
64,Village,Northern,2,5,3,4549.051023
72,Village,Northern,3,5,2,8721.937085
60,Town,Northern,2,4,2,2566.709186
62,Town,Northern,4,8,2,3759.568031
51,Village,Northern,4,9,2,10503.90477
37,Village,Northern,2,4,4,5286.751705
33,Others,Estern,2,4,2,6610.960891
33,Others,Northern,3,6,4,6355.486403
27,Others,Northern,3,6,2,4466.076535
29,Village,Southern,1,4,1,6250.285721
62,Central City,Northern,3,6,2,8261.994907
63,Village,Estern,2,4,2,26579.28745
70,Central City,Southern,3,6,1,6476.636062
34,Central City,Northern,3,6,5,10291.56294
31,Central City,Northern,2,5,1,1751.450682
9,Village,Northern,4,8,-6,30318.30787
48,Central City,Northern,2,5,1,5565.960891
71,Central City,Northern,2,6,1,7304.753411
71,Central City,Northern,2,5,1,5554.294225
54,Others,Northern,4,7,4,6077.943883
63,Town,Northern,3,7,2,4365.085039
56,Village,Estern,3,7,4,12618.90477
59,Others,Northern,3,12,3,9021.520418
44,Village,Estern,3,8,4,4310.243201
60,Village,Estern,3,6,3,10442.39627
32,Village,Estern,4,7,4,8871.879263
40,Village,Estern,3,7,4,6404.452387
65,Village,Southern,5,9,2,27735.26364
51,Central City,Southern,3,7,2,11845.25512
47,Others,Western,3,7,4,3299.726194
50,Central City,Western,2,5,2,11173.58845
50,Others,Northern,3,8,2,6150.127558
27,Others,Northern,3,5,4,4031.076535
58,Others,Northern,3,7,3,7780.170077
43,Others,Western,4,10,4,15526.21601
42,Village,Estern,4,9,4,10040.57144
37,Village,Estern,4,9,5,13653.73131
59,Village,Estern,3,7,2,15096.37417
44,Village,Estern,4,9,2,12628.94729
67,Village,Estern,4,9,3,4842.585039
56,Village,Estern,3,7,1,11191.92178
30,Town,Western,3,6,4,5189.768713
65,Others,Estern,3,6,1,1253.175171
66,Others,Estern,4,8,2,13033.63097
52,Central City,Northern,4,9,3,9354.79593
50,Central City,Northern,3,5,1,3802.959186
9,Others,Northern,3,5,-6,5284.811232
33,Others,Northern,3,6,3,5072.943883
63,Town,Estern,3,8,2,11418.58845
61,Village,Estern,2,6,2,19100.42519
52,Central City,Southern,2,4,1,2558.634356
51,Others,Northern,2,6,2,14022.84015
46,Central City,Northern,4,7,2,11088.58845
32,Others,Western,3,5,2,5484.294225
62,Others,Northern,3,7,2,5441.277217
56,Others,Northern,2,4,1,4202.743201
26,Others,Northern,3,7,3,5267.785721
42,Others,Northern,4,9,4,18520.26703
93,Village,Northern,3,5,1,1641.350341
85,Others,Northern,3,12,2,14318.67349
32,Village,Western,2,5,3,5168.102046
68,Others,Northern,3,5,2,4545.085039
36,Others,Northern,3,5,5,5535.443883
66,Village,Northern,3,7,1,2616.350341
41,Village,Northern,4,8,4,12664.4643
49,Village,Northern,3,5,4,6131.952387
33,Central City,Northern,3,7,3,9577.29593
68,Others,Southern,3,10,2,10539.73811
61,Others,Southern,4,8,2,13408.67349
71,Others,Western,3,5,2,5730.127558
50,Others,Northern,3,5,2,6485.386062
52,Others,Western,3,6,2,7959.178581
64,Central City,Northern,3,6,2,2860.875853
48,Village,Northern,3,5,4,3193.734698
28,Village,Northern,3,6,2,5006.852046
58,Central City,Northern,3,6,3,3293.476194
32,Central City,Northern,3,5,4,8974.753411
42,Others,Western,4,7,4,9706.204093
38,Town,Southern,3,6,4,7633.661573
47,Village,Northern,4,9,6,12528.90477
9,Village,Southern,2,5,-6,5750.127558
25,Others,Southern,3,5,2,6188.460891
51,Town,Estern,4,9,5,16577.04934
60,Others,Southern,3,7,3,9891.821441
59,Central City,Northern,3,5,4,4719.409868
58,Village,Western,5,9,4,7561.836744
36,Village,Western,4,8,3,5134.768713
71,Village,Western,2,5,1,2808.476194
36,Village,Southern,2,4,1,7135.170077
54,Town,Western,4,9,2,12366.13097
24,Town,Northern,3,6,2,6555.644566
32,Others,Southern,3,5,2,6434.136062
37,Central City,Northern,3,5,4,4171.909868
57,Central City,Northern,3,6,1,4948.418372
45,Village,Northern,3,6,4,6769.035721
33,Village,Northern,3,6,4,10628.07144
78,Town,Northern,3,6,1,8022.210891
41,Central City,Southern,3,5,4,7303.503411
9,Others,Estern,2,4,-6,6584.452387
9,Others,Estern,3,5,-6,6809.336744
51,Others,Northern,4,9,4,4533.418372
43,Central City,Northern,3,6,3,5643.102046
60,Town,Estern,5,13,2,16168.24152
9,Village,Estern,4,7,-6,12045.81464
40,Village,Estern,3,5,3,9882.554434
44,Village,Estern,3,5,2,8233.862255
46,Village,Estern,2,4,4,4713.777217
43,Town,Estern,3,6,4,10569.59525
46,Central City,Western,5,10,5,11358.43029
32,Village,Western,2,4,2,4352.901364
64,Village,Northern,5,10,2,15798.63097
29,Others,Western,3,5,3,3605.818031
42,Village,Northern,5,8,2,4817.426876
72,Others,Estern,1,3,1,4014.768713
69,Village,Southern,4,8,2,14556.74832
30,Town,Southern,3,6,3,11659.78063
49,Village,Southern,6,11,6,17523.75853
87,Others,Southern,3,6,2,7870.528922
62,Others,Southern,3,6,1,11428.2143
72,Others,Estern,3,5,4,7102.469395
51,Village,Estern,5,9,6,24613.55446
43,Village,Western,4,8,5,15101.37417
60,Town,Western,2,8,1,6891.994907
47,Village,Northern,4,9,3,23450.59527
54,Others,Western,4,8,2,6502.569736
52,Village,Northern,3,6,2,6849.653069
50,Village,Northern,4,8,5,6484.452387
57,Central City,Northern,3,7,1,6232.311232
36,Central City,Northern,3,6,3,4956.076535
59,Others,Southern,3,7,1,7115.170077
60,Town,Western,3,5,2,8566.04593
34,Central City,Western,3,7,4,5882.469395
50,Village,Western,3,7,1,5474.294225
49,Others,Northern,3,5,4,5908.877558
69,Others,Northern,2,5,2,5426.119054
39,Village,Western,4,8,4,17524.13267
41,Others,Northern,4,10,5,17944.17519
79,Others,Northern,2,4,3,1406.350341
82,Village,Southern,2,7,3,11869.62246
46,Village,Western,3,8,4,8959.695589
93,Village,Western,2,5,1,5230.127558
35,Village,Estern,3,6,4,20489.63438
42,Village,Estern,3,6,9,16853.71601
44,Village,Southern,2,4,2,21081.38608
67,Others,Western,4,9,3,4963.518713
51,Others,Western,2,4,1,2036.034015
69,Town,Southern,3,5,1,4832.943883
40,Village,Estern,2,4,3,3270.401364
55,Others,Southern,2,4,3,4323.576535
50,Others,Southern,3,7,4,3523.734698
58,Village,Western,3,5,1,9152.9711
74,Town,Estern,3,7,3,14618.25682
38,Central City,Southern,3,8,5,8048.603752
56,Central City,Southern,3,6,3,10645.7296
79,Others,Southern,3,6,2,2879.884356
46,Others,Northern,2,6,2,8501.879263
47,Central City,Southern,3,5,2,10466.92178
39,Village,Southern,2,4,1,4715.401364
64,Central City,Southern,3,5,3,7027.153069
59,Village,Western,3,8,4,7250.069736
44,Others,Northern,3,5,3,6251.636062
41,Town,Western,4,8,4,9738.129263
43,Town,Western,5,9,2,6267.627558
55,Central City,Northern,3,7,4,5650.285721
49,Village,Northern,3,8,4,12541.34695
78,Village,Northern,4,9,2,3809.984698
44,Village,Western,4,8,3,11892.28063
52,Village,Western,3,9,1,11910.09695
58,Village,Western,2,5,2,6039.193883
53,Village,Western,2,7,5,9094.278922
59,Village,Western,4,7,2,6317.627558
52,Town,Estern,5,10,3,11341.03063
52,Others,Northern,4,6,3,8112.153069
60,Central City,Southern,3,6,1,7834.695589
36,Village,Northern,3,5,3,6611.219395
43,Village,Northern,3,5,3,5999.452387
31,Central City,Northern,3,6,1,9033.028922
48,Village,Northern,3,6,2,4540.343542
67,Central City,Northern,3,5,3,4713.102046
75,Town,Northern,4,8,2,5188.418372
59,Village,Northern,3,7,2,16841.25853
34,Town,Northern,4,8,2,15476.59015
47,Town,Western,3,9,4,11846.9643
47,Town,Western,4,8,4,9850.212596
37,Village,Northern,3,6,2,5939.452387
37,Village,Northern,4,6,3,10042.55443
76,Village,Northern,3,6,2,19052.09186
37,Central City,Southern,4,8,3,27941.55616
57,Central City,Southern,4,8,2,18854.63438
31,Central City,Southern,3,6,4,13324.88097
66,Central City,Southern,3,6,2,10109.06294
32,Village,Southern,4,6,5,9035.170077
58,Central City,Southern,3,5,4,12314.78063
35,Central City,Southern,1,3,1,11638.63097
50,Central City,Southern,3,6,1,6303.561232
39,Town,Western,2,4,2,3318.89286
53,Others,Estern,4,12,3,10879.00512
31,Others,Southern,2,5,2,7244.336744
56,Others,Southern,3,5,2,20961.38608
52,Town,Estern,5,10,2,83673.89297
45,Village,Estern,4,8,3,16387.88267
63,Central City,Estern,4,7,5,6027.785721
9,Central City,Southern,5,10,-6,10628.90477
52,Central City,Southern,5,8,4,9021.003411
46,Village,Southern,6,9,6,20381.67519
63,Village,Southern,3,6,2,9559.79593
82,Village,Western,3,6,2,6817.785721
79,Others,Northern,3,6,1,5196.651364
60,Central City,Northern,3,6,2,5579.926876
34,Village,Western,5,8,5,10896.92178
42,Town,Western,4,8,2,4040.501705
63,Village,Western,3,5,2,7088.244907
39,Others,Northern,4,8,5,13056.50512
93,Others,Northern,2,5,2,4324.251705
62,Others,Northern,3,8,2,2872.801023
49,Town,Northern,3,5,2,13886.17349
32,Town,Northern,3,5,3,6076.119054
34,Town,Estern,3,6,5,10014.37926
28,Town,Northern,4,7,5,6308.102046
63,Others,Northern,2,5,1,4232.068031
46,Village,Northern,4,10,5,11738.27212
39,Others,Northern,5,9,5,12616.03063
62,Town,Northern,2,4,2,1993.534015
36,Village,Western,2,4,3,4561.076535
34,Village,Southern,3,5,6,5494.61055
61,Village,Southern,4,9,3,16147.88267
51,Town,Western,1,4,2,6245.127558
9,Village,Estern,4,7,-6,17491.30105
53,Town,Western,4,9,2,10368.07144
71,Central City,Northern,3,6,1,9011.304434
34,Central City,Northern,3,5,4,9711.204093
79,Central City,Northern,2,4,1,1527.341837
26,Village,Estern,2,4,2,11336.75171
31,Central City,Northern,3,6,3,7516.994907
33,Village,Northern,2,4,3,6517.627558
59,Central City,Southern,2,4,1,32434.84698
30,Central City,Southern,3,5,3,8710.528922
62,Village,Southern,5,9,2,10773.58845
55,Village,Southern,3,5,3,6129.093542
49,Village,Northern,4,7,4,7453.920077
75,Others,Northern,4,7,1,26521.31296
30,Others,Northern,2,7,3,8145.528922
26,Central City,Estern,2,4,2,14580.34015
41,Village,Estern,5,10,7,14366.64798
27,Others,Western,3,7,1,6540.644566
55,Village,Estern,3,7,2,10125.31294
53,Town,Estern,4,10,4,12143.94729
38,Central City,Northern,3,6,4,4605.243201
76,Central City,Northern,3,7,2,10731.04593
75,Central City,Northern,4,8,2,3815.71769
66,Town,Northern,3,8,2,13412.00682
37,Central City,Southern,3,5,3,23669.56125
60,Central City,Western,3,5,1,3021.39286
44,Village,Northern,5,8,4,8375.845248
72,Village,Northern,2,4,2,5509.193883
34,Village,Northern,5,8,4,11418.01362
45,Village,Northern,3,7,5,4256.076535
77,Town,Northern,3,9,1,3655.401364
56,Town,Northern,4,7,2,4956.909868
44,Village,Northern,4,8,3,6394.294225
29,Village,Northern,4,8,2,6285.127558
49,Others,Western,3,6,2,3708.418372
77,Village,Western,4,9,2,23159.26023
71,Central City,Southern,2,7,2,9036.879263
40,Central City,Southern,3,6,3,6658.102046
76,Town,Northern,4,9,1,15412.78233
73,Village,Northern,3,8,1,17091.21601
53,Village,Northern,4,9,3,20698.84356
58,Village,Northern,4,11,3,28256.87249
33,Village,Northern,4,8,4,17062.40819
38,Village,Northern,4,7,4,9455.528922
40,Town,Northern,4,6,4,8257.670077
33,Village,Northern,3,6,3,5326.277217
35,Village,Southern,3,7,3,16062.04934
82,Village,Southern,3,6,2,16078.91669
44,Others,Northern,3,6,1,7794.695589
93,Others,Northern,3,7,1,4194.884356
41,Others,Northern,4,8,3,7087.153069
24,Central City,Estern,1,3,1,22806.38608
36,Central City,Estern,1,3,2,21313.88608
58,Others,Estern,4,8,1,4525.401364
74,Others,Northern,3,7,1,6136.636062
27,Village,Estern,3,5,3,14091.17349
47,Central City,Southern,4,7,2,21346.70241
67,Village,Southern,1,3,2,8630.170077
34,Central City,Southern,3,6,3,17028.91669
49,Central City,Southern,2,4,2,10970.25512
41,Central City,Northern,3,7,2,5982.943883
53,Others,Northern,3,6,2,11781.60546
41,Others,Northern,3,6,3,17118.75853
62,Others,Northern,3,5,2,10627.91328
31,Others,Northern,6,10,2,17507.09186
37,Others,Northern,2,5,2,8508.862255
58,Others,Estern,3,7,2,8266.836744
54,Central City,Estern,1,4,1,39016.68372
40,Village,Western,3,6,5,5815.127558
58,Village,Western,4,9,2,8422.353752
50,Town,Estern,3,7,2,10117.23811
26,Central City,Northern,3,6,2,8177.311232
68,Others,Northern,3,7,2,11570.25512
59,Village,Northern,3,6,1,3087.542519
71,Central City,Northern,4,7,2,4413.835039
46,Others,Northern,3,5,4,4515.343542
58,Others,Northern,3,8,3,18229.17519
58,Village,Western,4,9,2,12989.4643
47,Village,Southern,4,8,8,19299.63438
57,Village,Southern,3,6,4,12059.83845
61,Village,Southern,6,9,5,2795.042519
59,Village,Southern,3,6,3,3928.059527
30,Village,Southern,4,7,6,12115.61396
46,Village,Southern,5,8,6,6194.136062
67,Village,Northern,4,8,2,10126.87926
27,Village,Western,4,8,2,7620.170077
31,Village,Northern,3,6,2,3593.576535
47,Village,Northern,1,5,1,3203.375853
64,Village,Western,2,7,1,8771.836744
39,Central City,Northern,3,6,5,4145.918372
47,Town,Northern,4,9,3,13366.54763
42,Village,Southern,4,7,3,32451.68372
36,Village,Northern,3,6,2,2697.542519
81,Town,Northern,4,8,4,11553.58845
66,Others,Northern,4,9,2,27434.01364
28,Village,Estern,3,6,1,5423.460891
61,Town,Western,3,8,3,7533.50341
45,Village,Western,4,10,4,13501.48981
72,Town,Northern,2,5,2,8253.503411
55,Village,Southern,3,5,2,10455.25512
40,Village,Southern,3,6,1,5835.127558
54,Town,Northern,3,6,1,7807.670077
52,Village,Western,4,7,4,10281.87926
37,Village,Northern,4,6,2,4450.918372
48,Village,Western,4,9,4,8206.937085
46,Village,Southern,3,5,2,5626.794225
79,Others,Northern,3,5,2,6688.819736
69,Village,Estern,2,4,2,12559.30614
